Filename,Description
1-104089-A-22.wav,It is the sound of human clapping.
3-246513-B-16.wav,The sound is that of strong wind blowing.
1-96950-B-9.wav,The sound is of a bird cawing loudly and repetitively.
2-105270-A-47.wav,An aircraft engine runs idle.
4-90014-B-42.wav,"It is the sound of an emergency vehicle, specifically a siren from a fire engine - fire truck."
1-47273-A-21.wav,It is a sneeze.
1-39901-A-11.wav,This is the sound of water flowing and bubbling.
1-19840-A-36.wav,It is the sound of an engine idling.
1-28135-B-11.wav,The sound is of ocean waves crashing onto the shore.
2-134915-A-30.wav,This is the sound of knocking on a door.
2-60180-A-49.wav,It is a sound of tools and sawing.
5-180156-B-43.wav,This is the sound of a car horn honking continuously.
5-233019-A-31.wav,This is the sound of a person typing on a keyboard.
5-223317-A-31.wav,It is the sound of a mouse clicking repeatedly.
4-161105-B-47.wav,A helicopter flies by in the sky.
3-160993-A-3.wav,This is the sound of a car engine revving very high.
3-135650-B-45.wav,It is the sound of a train moving on railroad tracks passing by.
2-66205-A-23.wav,A person sniffing.
1-47819-A-5.wav,A cat meowing twice.
1-54747-A-46.wav,"It is the sound of a bell, specifically a church bell, throughout the entire duration of the audio."
3-139958-A-37.wav,This is the sound of an alarm clock going off.
2-152964-A-31.wav,It is the sound of a computer mouse clicking.
1-101336-A-30.wav,This is the sound of a door being knocked.
1-11687-A-47.wav,It is the sound of a large aircraft taking off with booming engines.
3-156581-B-14.wav,The sound is that of birds chirping and tweeting.
1-12653-A-15.wav,The sound is that of water dripping continuously.
4-204777-A-39.wav,Glass shattering.
5-160614-B-48.wav,This is the sound of fireworks.
4-234644-A-2.wav,This is the sound of a pig oinking and squealing.
4-201988-A-44.wav,It is the sound of an engine idling.
2-103424-A-3.wav,It is a sound of a cow mooing.
1-28005-A-18.wav,A toilet is being flushed.
2-82455-A-23.wav,It is a sigh.
5-234855-A-25.wav,It is the sound of someone walking in heavy boots on a hard surface.
2-50668-A-41.wav,It is the sound of a light engine with a high frequency.
3-163607-A-13.wav,It is the sound of a vehicle engine idling.
5-233312-A-28.wav,Someone snores nearby.
1-115545-A-48.wav,It is the sound of fireworks.
3-144510-A-30.wav,This is the sound of a door being knocked.
4-102844-C-49.wav,This is the sound of sanding a surface.
5-192191-A-19.wav,It is the sound of rain falling and wind blowing heavily.
4-198962-A-25.wav,"This is the sound of someone walking on a hard surface, like a floor, and then walking on a wooden surface."
5-177957-D-40.wav,It is the sound of an engine idling.
2-102581-B-29.wav,"This sound is a digestive sound, specifically burping or eructation."
5-259180-A-15.wav,This is the sound of water dripping.
5-260164-A-23.wav,It is a sigh.
1-21896-A-35.wav,It is the sound of an engine idling.
2-52001-A-28.wav,It is the sound of someone snoring.
2-42101-A-43.wav,It is the sound of a train passing by and its whistle blowing.
3-251617-A-48.wav,This is the sound of fireworks.
3-142605-A-21.wav,It is a sneeze.
2-95567-A-23.wav,It is a human voice sighing.
2-32515-A-4.wav,This is the sound of a group of frogs croaking.
3-155584-A-14.wav,The audio contains sounds of birds chirping lightly throughout the entire duration.
5-214759-B-5.wav,It is the sound of a cat meowing.
4-175945-A-38.wav,It is the sound of a clock ticking.
1-22804-A-46.wav,"The sound is that of a bell, specifically a church bell, throughout the entire duration of the audio."
3-96606-A-49.wav,It is the sound of a saw being used on wood.
5-221593-A-21.wav,It is a sneeze.
3-110913-D-7.wav,This is the sound of a housefly buzzing around.
4-161303-B-5.wav,It's a cat meowing.
2-73260-A-10.wav,The sound is that of water dripping onto a surface.
2-104105-B-19.wav,This is the sound of a thunderstorm with distant thunder and rain falling.
5-249748-A-28.wav,This is the sound of a person snoring loudly and then taking a deep breath.
2-117615-E-48.wav,This is the sound of fireworks.
4-108352-A-33.wav,The sound is that of a door being opened and closed repeatedly.
1-46353-A-49.wav,It is the sound of a hand saw cutting through wood.
2-139749-A-15.wav,The sound is that of an object being placed on a hard surface.
5-215658-A-12.wav,This is the sound of fire in a wood-burning stove.
2-128465-A-43.wav,It is the sound of a train running on railroad tracks passing by.
5-179860-A-43.wav,It is the sound of a car horn honking continuously.
1-58846-A-34.wav,A can is being opened.
1-17970-A-4.wav,This is the sound of a frog croaking at various intervals.
1-15689-A-4.wav,A frog croaking multiple times.
2-139748-A-15.wav,The sound is that of water dripping onto a surface.
2-88724-A-38.wav,The sound is that of a clock ticking.
1-64398-B-41.wav,It is the sound of a chainsaw cutting through wood.
2-124564-A-15.wav,"This is the sound of liquid dropping and gurgling, followed by the sound of liquid filling a container."
4-161579-A-40.wav,A helicopter engine working
4-125072-A-19.wav,It is the sound of a thunderstorm with distant thunder and wind.
2-71162-A-1.wav,It is the sound of a rooster crowing.
2-98392-A-23.wav,It is a human voice sighing.
1-45641-A-27.wav,This is the sound of someone brushing their teeth.
4-163606-A-16.wav,It is the sound of wind blowing into a microphone.
3-159348-A-36.wav,It is the sound of an engine slowing down and then stopping.
4-187284-A-30.wav,Knocking on a door with varying intensity.
5-253094-A-49.wav,It is the sound of tools and sawing.
4-186518-A-30.wav,This is the sound of a door knocking.
4-195497-A-11.wav,The sound is of ocean waves crashing onto the shore repeatedly.
4-135439-A-18.wav,A toilet is being flushed.
3-108451-A-17.wav,The sound is of liquid being poured from one vessel into another.
5-200334-B-1.wav,This is the sound of a rooster crowing.
1-36397-A-23.wav,This is the sound of a person sniffing.
5-252248-A-34.wav,This is the sound of a bottle being opened with a bottle opener.
5-156698-A-18.wav,This is the sound of a toilet being flushed.
1-30709-B-23.wav,It is a human voice and sigh.
4-218199-C-35.wav,It is the sound of an engine idling.
5-263831-A-6.wav,A rooster is crowing.
1-260640-A-2.wav,A dog is barking and a pig is oinking.
2-52085-A-4.wav,This is the sound of a frog croaking repeatedly.
2-135860-A-49.wav,It is the sound of a person using a saw to cut through wood.
4-184237-A-28.wav,It is the sound of a person snoring.
