,precision,recall,f1-score,support
0,1.0,1.0,1.0,3.0
1,0.8888888888888888,1.0,0.9411764705882353,8.0
2,1.0,1.0,1.0,9.0
3,1.0,0.875,0.9333333333333333,8.0
4,1.0,1.0,1.0,7.0
5,1.0,1.0,1.0,9.0
6,1.0,0.7777777777777778,0.875,9.0
7,1.0,1.0,1.0,7.0
8,1.0,1.0,1.0,7.0
9,1.0,1.0,1.0,7.0
10,1.0,0.9090909090909091,0.9523809523809523,11.0
11,1.0,1.0,1.0,5.0
12,1.0,1.0,1.0,10.0
13,1.0,0.8,0.8888888888888888,10.0
14,0.875,1.0,0.9333333333333333,7.0
15,1.0,0.75,0.8571428571428571,8.0
16,0.7142857142857143,0.9090909090909091,0.8,11.0
17,1.0,1.0,1.0,9.0
18,1.0,1.0,1.0,9.0
19,1.0,1.0,1.0,7.0
20,1.0,1.0,1.0,8.0
21,0.875,1.0,0.9333333333333333,7.0
22,1.0,1.0,1.0,11.0
23,1.0,1.0,1.0,7.0
24,1.0,0.875,0.9333333333333333,8.0
25,1.0,1.0,1.0,14.0
26,1.0,1.0,1.0,7.0
27,0.9090909090909091,1.0,0.9523809523809523,10.0
28,1.0,1.0,1.0,7.0
29,0.8181818181818182,1.0,0.9,9.0
30,1.0,1.0,1.0,6.0
31,0.8888888888888888,1.0,0.9411764705882353,8.0
32,1.0,1.0,1.0,6.0
33,1.0,0.9,0.9473684210526315,10.0
34,1.0,1.0,1.0,9.0
35,0.8,0.6666666666666666,0.7272727272727273,6.0
36,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
37,1.0,1.0,1.0,7.0
38,1.0,1.0,1.0,11.0
39,1.0,1.0,1.0,8.0
40,0.8571428571428571,1.0,0.9230769230769231,6.0
41,1.0,0.8333333333333334,0.9090909090909091,6.0
42,1.0,1.0,1.0,10.0
43,1.0,1.0,1.0,9.0
44,0.8888888888888888,1.0,0.9411764705882353,8.0
45,1.0,1.0,1.0,8.0
46,1.0,1.0,1.0,6.0
47,1.0,1.0,1.0,8.0
48,1.0,1.0,1.0,7.0
49,1.0,1.0,1.0,6.0
accuracy,0.9625,0.9625,0.9625,0.9625
macro avg,0.966974025974026,0.9625858585858587,0.9624559741943642,400.0
weighted avg,0.9670946969696971,0.9625,0.9623489865182978,400.0
